transaction_id,sender_id,receiver_id,amount,timestamp
TXN_001,ACC_001,ACC_002,5000.00,2024-01-15 09:00:00
TXN_002,ACC_002,ACC_003,4800.00,2024-01-15 09:30:00
TXN_003,ACC_003,ACC_001,4600.00,2024-01-15 10:00:00
TXN_004,ACC_004,ACC_005,10000.00,2024-01-15 10:30:00
TXN_005,ACC_005,ACC_006,9500.00,2024-01-15 11:00:00
TXN_006,ACC_006,ACC_007,9000.00,2024-01-15 11:30:00
TXN_007,ACC_007,ACC_004,8500.00,2024-01-15 12:00:00
TXN_008,ACC_008,ACC_009,2000.00,2024-01-15 12:30:00
TXN_009,ACC_010,ACC_009,2100.00,2024-01-15 12:45:00
TXN_010,ACC_011,ACC_009,2200.00,2024-01-15 13:00:00
TXN_011,ACC_012,ACC_009,2300.00,2024-01-15 13:15:00
TXN_012,ACC_013,ACC_009,2400.00,2024-01-15 13:30:00
TXN_013,ACC_014,ACC_009,2500.00,2024-01-15 13:45:00
TXN_014,ACC_015,ACC_009,2600.00,2024-01-15 14:00:00
TXN_015,ACC_016,ACC_009,2700.00,2024-01-15 14:15:00
TXN_016,ACC_017,ACC_009,2800.00,2024-01-15 14:30:00
TXN_017,ACC_018,ACC_009,2900.00,2024-01-15 14:45:00
TXN_018,ACC_019,ACC_009,3000.00,2024-01-15 15:00:00
TXN_019,ACC_020,ACC_021,1000.00,2024-01-15 15:30:00
TXN_020,ACC_020,ACC_022,1100.00,2024-01-15 15:35:00
TXN_021,ACC_020,ACC_023,1200.00,2024-01-15 15:40:00
TXN_022,ACC_020,ACC_024,1300.00,2024-01-15 15:45:00
TXN_023,ACC_020,ACC_025,1400.00,2024-01-15 15:50:00
TXN_024,ACC_020,ACC_026,1500.00,2024-01-15 15:55:00
TXN_025,ACC_020,ACC_027,1600.00,2024-01-15 16:00:00
TXN_026,ACC_020,ACC_028,1700.00,2024-01-15 16:05:00
TXN_027,ACC_020,ACC_029,1800.00,2024-01-15 16:10:00
TXN_028,ACC_020,ACC_030,1900.00,2024-01-15 16:15:00
TXN_029,ACC_020,ACC_031,2000.00,2024-01-15 16:20:00
TXN_030,ACC_032,ACC_033,500.00,2024-01-15 16:30:00
TXN_031,ACC_033,ACC_034,480.00,2024-01-15 16:45:00
TXN_032,ACC_034,ACC_035,460.00,2024-01-15 17:00:00
TXN_033,ACC_035,ACC_036,440.00,2024-01-15 17:15:00
TXN_034,ACC_036,ACC_032,420.00,2024-01-15 17:30:00
TXN_035,ACC_037,ACC_038,3000.00,2024-01-15 18:00:00
TXN_036,ACC_038,ACC_039,2900.00,2024-01-15 18:15:00
TXN_037,ACC_039,ACC_040,2800.00,2024-01-15 18:30:00
TXN_038,ACC_040,ACC_037,2700.00,2024-01-15 18:45:00
TXN_039,ACC_041,ACC_042,150.00,2024-01-15 19:00:00
TXN_040,ACC_042,ACC_043,145.00,2024-01-15 19:15:00
TXN_041,ACC_043,ACC_044,140.00,2024-01-15 19:30:00
TXN_042,ACC_044,ACC_045,135.00,2024-01-15 19:45:00
TXN_043,ACC_045,ACC_041,130.00,2024-01-15 20:00:00
TXN_044,ACC_046,ACC_047,8000.00,2024-01-15 20:30:00
TXN_045,ACC_047,ACC_048,7800.00,2024-01-15 20:45:00
TXN_046,ACC_048,ACC_049,7600.00,2024-01-15 21:00:00
TXN_047,ACC_049,ACC_046,7400.00,2024-01-15 21:15:00
TXN_048,ACC_050,ACC_051,250.00,2024-01-15 21:30:00
TXN_049,ACC_051,ACC_052,240.00,2024-01-15 21:45:00
TXN_050,ACC_052,ACC_050,230.00,2024-01-15 22:00:00
